Reporting Period ID,Trade Policy,Commodity,DMC
2022-MAY,Export ban,Wheat,India
2022-MAY,Export ban,Sugar,Kazakhstan
2022-MAY,Export ban,Sugar,Pakistan
2022-MAY,Export ban,Wheat,Afghanistan
2022-MAY,Export ban lifted,Palm Oil,Indonesia
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
