Reporting Period ID,Status,Country,List Group
2022-MAY,In Food Security Crisis,Afghanistan,A
2022-MAY,In Food Security Crisis,Myanmar,A
2022-MAY,In Food Security Crisis,Sri Lanka,A
2022-MAY,Vulnerable,Mongolia,A
2022-MAY,Vulnerable,Pakistan,A
2022-MAY,In Food Security Crisis,Afghanistan 2,B
2022-MAY,In Food Security Crisis,Myanmar 2,B
2022-MAY,In Food Security Crisis,Sri Lanka 2,B
2022-MAY,Vulnerable,Mongolia 2,B
2022-MAY,Vulnerable,Pakistan 2,B
