Reporting Period ID,Status,Percentage,
2022-MAY,Export Licensing,3.32%,
2022-MAY,Export Ban,7.06%,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
